question,id,audio_path,optionA,optionB,optionC,optionD,correct,source_wavs,source_categories
How many different sound sources can be heard in this clip?,59,audios/59.wav,3,1,0,2,B,"['/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']"
Identify the count of different sound sources in this clip.,63,audios/63.wav,2,3,4,1,A,"['/home/data/ESC-50/ESC-50-master/audio/1-81001-A-30.wav', '/home/data/ESC-50/ESC-50-master/audio/1-81001-A-30.wav', '/home/data/ESC-50/ESC-50-master/audio/2-118459-A-32.wav', '/home/data/ESC-50/ESC-50-master/audio/2-118459-A-32.wav']","['door_wood_knock', 'door_wood_knock', 'keyboard_typing', 'keyboard_typing']"
How many distinct sound categories are there in this audio file?,65,audios/65.wav,0,2,1,3,C,"['/home/data/ESC-50/ESC-50-master/audio/4-188191-C-29.wav', '/home/data/ESC-50/ESC-50-master/audio/4-188191-C-29.wav', '/home/data/ESC-50/ESC-50-master/audio/4-188191-C-29.wav', '/home/data/ESC-50/ESC-50-master/audio/4-188191-C-29.wav']","['drinking_sipping', 'drinking_sipping', 'drinking_sipping', 'drinking_sipping']"
Determine the number of unique sound sources in this recording.,66,audios/66.wav,2,0,1,3,C,"['/home/data/ESC-50/ESC-50-master/audio/1-116765-A-41.wav', '/home/data/ESC-50/ESC-50-master/audio/1-116765-A-41.wav']","['chainsaw', 'chainsaw']"
How many separate sound sources are included in the audio?,67,audios/67.wav,3,2,0,1,D,"['/home/data/ESC-50/ESC-50-master/audio/5-209992-B-44.wav', '/home/data/ESC-50/ESC-50-master/audio/5-209992-B-44.wav']","['engine', 'engine']"
What is the total number of unique sound types in this audio?,68,audios/68.wav,2,4,3,1,A,"['/home/data/ESC-50/ESC-50-master/audio/4-204202-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/4-204202-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/4-204202-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/4-204202-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/2-160128-A-7.wav']","['drinking_sipping', 'drinking_sipping', 'drinking_sipping', 'drinking_sipping', 'insects']"
How many different sound sources can be heard in this clip?,69,audios/69.wav,4,3,2,5,B,"['/home/data/ESC-50/ESC-50-master/audio/4-212604-C-15.wav', '/home/data/ESC-50/ESC-50-master/audio/2-37806-D-40.wav', '/home/data/ESC-50/ESC-50-master/audio/3-117504-B-16.wav', '/home/data/ESC-50/ESC-50-master/audio/4-212604-C-15.wav']","['water_drops', 'helicopter', 'wind', 'water_drops']"
How many different types of sounds can be identified in this recording?,71,audios/71.wav,2,3,1,0,C,"['/home/data/ESC-50/ESC-50-master/audio/1-56234-A-9.wav', '/home/data/ESC-50/ESC-50-master/audio/1-56234-A-9.wav']","['crow', 'crow']"
How many unique types of sound are present in this audio?,72,audios/72.wav,1,4,2,3,C,"['/home/data/ESC-50/ESC-50-master/audio/4-174860-A-3.wav', '/home/data/ESC-50/ESC-50-master/audio/4-174860-A-3.wav', '/home/data/ESC-50/ESC-50-master/audio/2-126756-A-29.wav']","['cow', 'cow', 'drinking_sipping']"
Identify the count of different sound sources in this clip.,73,audios/73.wav,2,3,5,4,B,"['/home/data/ESC-50/ESC-50-master/audio/4-184575-A-0.wav', '/home/data/ESC-50/ESC-50-master/audio/5-156999-C-19.wav', '/home/data/ESC-50/ESC-50-master/audio/4-184575-A-0.wav', '/home/data/ESC-50/ESC-50-master/audio/5-221567-A-22.wav', '/home/data/ESC-50/ESC-50-master/audio/5-156999-C-19.wav']","['dog', 'thunderstorm', 'dog', 'clapping', 'thunderstorm']"
What is the total number of unique sounds heard in this audio?,74,audios/74.wav,3,1,2,0,B,"['/home/data/ESC-50/ESC-50-master/audio/3-149042-A-24.wav', '/home/data/ESC-50/ESC-50-master/audio/3-149042-A-24.wav', '/home/data/ESC-50/ESC-50-master/audio/3-149042-A-24.wav', '/home/data/ESC-50/ESC-50-master/audio/3-149042-A-24.wav']","['coughing', 'coughing', 'coughing', 'coughing']"
How many distinct sound categories are there in this audio file?,75,audios/75.wav,3,6,5,4,D,"['/home/data/ESC-50/ESC-50-master/audio/1-155858-F-25.wav', '/home/data/ESC-50/ESC-50-master/audio/1-27724-A-1.wav', '/home/data/ESC-50/ESC-50-master/audio/4-189332-A-37.wav', '/home/data/ESC-50/ESC-50-master/audio/2-106072-A-36.wav', '/home/data/ESC-50/ESC-50-master/audio/4-189332-A-37.wav']","['footsteps', 'rooster', 'clock_alarm', 'vacuum_cleaner', 'clock_alarm']"
Determine the number of unique sound sources in this recording.,76,audios/76.wav,2,3,0,1,D,"['/home/data/ESC-50/ESC-50-master/audio/3-142601-A-21.wav', '/home/data/ESC-50/ESC-50-master/audio/3-142601-A-21.wav']","['sneezing', 'sneezing']"
How many separate sound sources are included in the audio?,77,audios/77.wav,2,0,3,1,D,['/home/data/ESC-50/ESC-50-master/audio/5-200334-A-1.wav'],['rooster']
What is the number of distinct sound sources in the audio file?,80,audios/80.wav,0,1,3,2,B,"['/home/data/ESC-50/ESC-50-master/audio/2-141681-B-36.wav', '/home/data/ESC-50/ESC-50-master/audio/2-141681-B-36.wav', '/home/data/ESC-50/ESC-50-master/audio/2-141681-B-36.wav', '/home/data/ESC-50/ESC-50-master/audio/2-141681-B-36.wav']","['vacuum_cleaner', 'vacuum_cleaner', 'vacuum_cleaner', 'vacuum_cleaner']"
How many unique types of sound are present in this audio?,82,audios/82.wav,2,4,3,1,A,"['/home/data/ESC-50/ESC-50-master/audio/3-171281-A-6.wav', '/home/data/ESC-50/ESC-50-master/audio/3-171281-A-6.wav', '/home/data/ESC-50/ESC-50-master/audio/5-243773-B-44.wav', '/home/data/ESC-50/ESC-50-master/audio/5-243773-B-44.wav', '/home/data/ESC-50/ESC-50-master/audio/5-243773-B-44.wav']","['hen', 'hen', 'engine', 'engine', 'engine']"
Identify the count of different sound sources in this clip.,83,audios/83.wav,0,3,1,2,C,['/home/data/ESC-50/ESC-50-master/audio/4-184575-A-0.wav'],['dog']
What is the total number of unique sounds heard in this audio?,84,audios/84.wav,3,0,1,2,C,['/home/data/ESC-50/ESC-50-master/audio/4-207116-A-23.wav'],['breathing']
How many distinct sound categories are there in this audio file?,85,audios/85.wav,2,3,1,0,C,"['/home/data/ESC-50/ESC-50-master/audio/5-191497-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-191497-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-191497-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-191497-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']"
What is the total number of unique sound types in this audio?,88,audios/88.wav,3,0,1,2,C,"['/home/data/ESC-50/ESC-50-master/audio/2-7321-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/2-7321-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/2-7321-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/2-7321-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/2-7321-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']"
How many different sound sources can be heard in this clip?,89,audios/89.wav,1,2,4,3,B,"['/home/data/ESC-50/ESC-50-master/audio/2-83934-B-5.wav', '/home/data/ESC-50/ESC-50-master/audio/3-112356-A-18.wav', '/home/data/ESC-50/ESC-50-master/audio/2-83934-B-5.wav', '/home/data/ESC-50/ESC-50-master/audio/3-112356-A-18.wav']","['cat', 'toilet_flush', 'cat', 'toilet_flush']"
What is the number of distinct sound sources in the audio file?,90,audios/90.wav,5,3,2,4,B,"['/home/data/ESC-50/ESC-50-master/audio/3-138114-A-22.wav', '/home/data/ESC-50/ESC-50-master/audio/3-138114-A-22.wav', '/home/data/ESC-50/ESC-50-master/audio/3-133977-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/3-138114-A-22.wav', '/home/data/ESC-50/ESC-50-master/audio/3-141240-A-44.wav']","['clapping', 'clapping', 'drinking_sipping', 'clapping', 'engine']"
How many different types of sounds can be identified in this recording?,91,audios/91.wav,3,0,2,1,D,['/home/data/ESC-50/ESC-50-master/audio/2-30322-B-12.wav'],['crackling_fire']
Determine the number of unique sound sources in this recording.,96,audios/96.wav,2,5,4,3,D,"['/home/data/ESC-50/ESC-50-master/audio/4-144083-B-16.wav', '/home/data/ESC-50/ESC-50-master/audio/4-185415-A-21.wav', '/home/data/ESC-50/ESC-50-master/audio/4-185415-A-21.wav', '/home/data/ESC-50/ESC-50-master/audio/1-91359-B-11.wav']","['wind', 'sneezing', 'sneezing', 'sea_waves']"
How many separate sound sources are included in the audio?,97,audios/97.wav,3,4,1,2,D,"['/home/data/ESC-50/ESC-50-master/audio/5-257349-A-15.wav', '/home/data/ESC-50/ESC-50-master/audio/1-79113-A-5.wav']","['water_drops', 'cat']"
What is the total number of unique sound types in this audio?,98,audios/98.wav,5,4,3,2,C,"['/home/data/ESC-50/ESC-50-master/audio/3-130998-A-28.wav', '/home/data/ESC-50/ESC-50-master/audio/5-156999-E-19.wav', '/home/data/ESC-50/ESC-50-master/audio/5-156999-E-19.wav', '/home/data/ESC-50/ESC-50-master/audio/5-250629-A-37.wav', '/home/data/ESC-50/ESC-50-master/audio/3-130998-A-28.wav']","['snoring', 'thunderstorm', 'thunderstorm', 'clock_alarm', 'snoring']"
How many different sound sources can be heard in this clip?,99,audios/99.wav,0,2,3,1,D,"['/home/data/ESC-50/ESC-50-master/audio/5-208810-B-11.wav', '/home/data/ESC-50/ESC-50-master/audio/5-208810-B-11.wav']","['sea_waves', 'sea_waves']"
How many different types of sounds can be identified in this recording?,101,audios/101.wav,2,1,3,0,B,"['/home/data/ESC-50/ESC-50-master/audio/3-155579-A-14.wav', '/home/data/ESC-50/ESC-50-master/audio/3-155579-A-14.wav', '/home/data/ESC-50/ESC-50-master/audio/3-155579-A-14.wav']","['chirping_birds', 'chirping_birds', 'chirping_birds']"
How many unique types of sound are present in this audio?,102,audios/102.wav,2,1,3,0,B,"['/home/data/ESC-50/ESC-50-master/audio/2-37806-A-40.wav', '/home/data/ESC-50/ESC-50-master/audio/2-37806-A-40.wav']","['helicopter', 'helicopter']"
Identify the count of different sound sources in this clip.,103,audios/103.wav,0,1,3,2,B,"['/home/data/ESC-50/ESC-50-master/audio/2-32515-C-4.wav', '/home/data/ESC-50/ESC-50-master/audio/2-32515-C-4.wav']","['frog', 'frog']"
How many distinct sound categories are there in this audio file?,105,audios/105.wav,3,1,2,0,B,['/home/data/ESC-50/ESC-50-master/audio/3-118069-B-27.wav'],['brushing_teeth']
Determine the number of unique sound sources in this recording.,106,audios/106.wav,3,2,1,0,C,['/home/data/ESC-50/ESC-50-master/audio/5-243450-A-14.wav'],['chirping_birds']
How many separate sound sources are included in the audio?,107,audios/107.wav,2,3,4,5,B,"['/home/data/ESC-50/ESC-50-master/audio/5-160614-B-48.wav', '/home/data/ESC-50/ESC-50-master/audio/4-250869-B-2.wav', '/home/data/ESC-50/ESC-50-master/audio/4-182613-B-11.wav']","['fireworks', 'pig', 'sea_waves']"
How many different sound sources can be heard in this clip?,109,audios/109.wav,2,3,1,0,C,"['/home/data/ESC-50/ESC-50-master/audio/1-79146-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/1-79146-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/1-79146-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/1-79146-A-29.wav']","['drinking_sipping', 'drinking_sipping', 'drinking_sipping', 'drinking_sipping']"
What is the number of distinct sound sources in the audio file?,110,audios/110.wav,3,2,1,0,C,"['/home/data/ESC-50/ESC-50-master/audio/5-117122-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/5-117122-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/5-117122-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/5-117122-A-42.wav']","['siren', 'siren', 'siren', 'siren']"
How many different types of sounds can be identified in this recording?,111,audios/111.wav,3,5,2,4,A,"['/home/data/ESC-50/ESC-50-master/audio/1-115546-A-48.wav', '/home/data/ESC-50/ESC-50-master/audio/2-152964-A-31.wav', '/home/data/ESC-50/ESC-50-master/audio/4-204777-A-39.wav', '/home/data/ESC-50/ESC-50-master/audio/1-115546-A-48.wav', '/home/data/ESC-50/ESC-50-master/audio/1-115546-A-48.wav']","['fireworks', 'mouse_click', 'glass_breaking', 'fireworks', 'fireworks']"
How many unique types of sound are present in this audio?,112,audios/112.wav,2,1,0,3,B,"['/home/data/ESC-50/ESC-50-master/audio/5-234879-A-1.wav', '/home/data/ESC-50/ESC-50-master/audio/5-234879-A-1.wav', '/home/data/ESC-50/ESC-50-master/audio/5-234879-A-1.wav', '/home/data/ESC-50/ESC-50-master/audio/5-234879-A-1.wav']","['rooster', 'rooster', 'rooster', 'rooster']"
What is the total number of unique sounds heard in this audio?,114,audios/114.wav,1,4,3,2,D,"['/home/data/ESC-50/ESC-50-master/audio/5-211197-A-24.wav', '/home/data/ESC-50/ESC-50-master/audio/5-211197-A-24.wav', '/home/data/ESC-50/ESC-50-master/audio/5-186924-A-12.wav', '/home/data/ESC-50/ESC-50-master/audio/5-186924-A-12.wav']","['coughing', 'coughing', 'crackling_fire', 'crackling_fire']"
How many distinct sound categories are there in this audio file?,115,audios/115.wav,4,2,3,5,C,"['/home/data/ESC-50/ESC-50-master/audio/5-201664-A-18.wav', '/home/data/ESC-50/ESC-50-master/audio/5-217158-A-0.wav', '/home/data/ESC-50/ESC-50-master/audio/3-142349-A-17.wav']","['toilet_flush', 'dog', 'pouring_water']"
Determine the number of unique sound sources in this recording.,116,audios/116.wav,4,2,3,1,B,"['/home/data/ESC-50/ESC-50-master/audio/4-156843-A-21.wav', '/home/data/ESC-50/ESC-50-master/audio/4-156843-A-21.wav', '/home/data/ESC-50/ESC-50-master/audio/3-119120-E-48.wav', '/home/data/ESC-50/ESC-50-master/audio/4-156843-A-21.wav']","['sneezing', 'sneezing', 'fireworks', 'sneezing']"
How many separate sound sources are included in the audio?,117,audios/117.wav,2,3,1,0,C,"['/home/data/ESC-50/ESC-50-master/audio/4-59579-A-20.wav', '/home/data/ESC-50/ESC-50-master/audio/4-59579-A-20.wav', '/home/data/ESC-50/ESC-50-master/audio/4-59579-A-20.wav', '/home/data/ESC-50/ESC-50-master/audio/4-59579-A-20.wav']","['crying_baby', 'crying_baby', 'crying_baby', 'crying_baby']"
What is the total number of unique sound types in this audio?,118,audios/118.wav,3,0,2,1,D,['/home/data/ESC-50/ESC-50-master/audio/5-223099-B-32.wav'],['keyboard_typing']
How many different sound sources can be heard in this clip?,119,audios/119.wav,3,0,1,2,C,['/home/data/ESC-50/ESC-50-master/audio/5-244315-B-6.wav'],['hen']
How many unique types of sound are present in this audio?,122,audios/122.wav,2,1,0,3,B,"['/home/data/ESC-50/ESC-50-master/audio/1-85168-A-39.wav', '/home/data/ESC-50/ESC-50-master/audio/1-85168-A-39.wav', '/home/data/ESC-50/ESC-50-master/audio/1-85168-A-39.wav', '/home/data/ESC-50/ESC-50-master/audio/1-85168-A-39.wav']","['glass_breaking', 'glass_breaking', 'glass_breaking', 'glass_breaking']"
What is the total number of unique sounds heard in this audio?,124,audios/124.wav,0,2,1,3,C,['/home/data/ESC-50/ESC-50-master/audio/3-126358-A-3.wav'],['cow']
How many distinct sound categories are there in this audio file?,125,audios/125.wav,0,3,1,2,C,"['/home/data/ESC-50/ESC-50-master/audio/5-213836-B-9.wav', '/home/data/ESC-50/ESC-50-master/audio/5-213836-B-9.wav', '/home/data/ESC-50/ESC-50-master/audio/5-213836-B-9.wav']","['crow', 'crow', 'crow']"
Determine the number of unique sound sources in this recording.,126,audios/126.wav,3,1,2,0,B,['/home/data/ESC-50/ESC-50-master/audio/2-250710-A-39.wav'],['glass_breaking']
How many separate sound sources are included in the audio?,127,audios/127.wav,4,1,2,3,C,"['/home/data/ESC-50/ESC-50-master/audio/4-204202-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/3-155577-A-14.wav', '/home/data/ESC-50/ESC-50-master/audio/4-204202-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/4-204202-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/3-155577-A-14.wav']","['drinking_sipping', 'chirping_birds', 'drinking_sipping', 'drinking_sipping', 'chirping_birds']"
What is the total number of unique sound types in this audio?,128,audios/128.wav,1,0,2,3,A,['/home/data/ESC-50/ESC-50-master/audio/5-249937-A-22.wav'],['clapping']
How many different sound sources can be heard in this clip?,129,audios/129.wav,5,2,4,3,D,"['/home/data/ESC-50/ESC-50-master/audio/4-188191-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165813-A-19.wav', '/home/data/ESC-50/ESC-50-master/audio/1-46272-A-12.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165813-A-19.wav']","['drinking_sipping', 'thunderstorm', 'crackling_fire', 'thunderstorm']"
