id,question,audio_path,optionA,optionB,optionC,optionD,correct,source_wavs,source_categories
59,Which sound event occurs after sheep sound?,audios/59.wav,Sheep,"Drinking, sipping",Siren,pig,D,"['/home/data/ESC-50/ESC-50-master/audio/3-20861-A-8.wav', '/home/data/ESC-50/ESC-50-master/audio/1-208757-C-2.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144891-A-19.wav']","['sheep', 'pig', 'thunderstorm']"
60,Which sound event occurs after car_horn sound?,audios/60.wav,Cat,Train,water_drops,Pig,C,"['/home/data/ESC-50/ESC-50-master/audio/1-26177-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/3-166324-A-15.wav']","['car_horn', 'water_drops']"
63,Which sound event occurs second?,audios/63.wav,Crackling fire,Dog,Mouse click,water_drops,D,"['/home/data/ESC-50/ESC-50-master/audio/1-43807-D-47.wav', '/home/data/ESC-50/ESC-50-master/audio/4-168155-A-15.wav', '/home/data/ESC-50/ESC-50-master/audio/1-50688-A-17.wav', '/home/data/ESC-50/ESC-50-master/audio/4-180380-A-10.wav']","['airplane', 'water_drops', 'pouring_water', 'rain']"
66,Which sound event occurs second?,audios/66.wav,Cat,Crow,Clock tick,frog,D,"['/home/data/ESC-50/ESC-50-master/audio/3-108451-B-17.wav', '/home/data/ESC-50/ESC-50-master/audio/3-71964-C-4.wav', '/home/data/ESC-50/ESC-50-master/audio/5-250258-A-49.wav']","['pouring_water', 'frog', 'hand_saw']"
67,Which sound event occurs after can_opening sound?,audios/67.wav,sneezing,Siren,"Drinking, sipping",Clock alarm,A,"['/home/data/ESC-50/ESC-50-master/audio/1-19026-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/1-69165-A-34.wav', '/home/data/ESC-50/ESC-50-master/audio/3-141684-A-21.wav']","['car_horn', 'can_opening', 'sneezing']"
68,Which sound event occurs second?,audios/68.wav,"Drinking, sipping",Glass breaking,Train,wind,D,"['/home/data/ESC-50/ESC-50-master/audio/1-34853-A-37.wav', '/home/data/ESC-50/ESC-50-master/audio/1-51037-A-16.wav']","['clock_alarm', 'wind']"
70,Which sound event occurs after vacuum_cleaner sound?,audios/70.wav,crackling_fire,Helicopter,Hen,Fireworks,A,"['/home/data/ESC-50/ESC-50-master/audio/1-19840-A-36.wav', '/home/data/ESC-50/ESC-50-master/audio/4-170247-B-12.wav', '/home/data/ESC-50/ESC-50-master/audio/1-137296-A-16.wav']","['vacuum_cleaner', 'crackling_fire', 'wind']"
71,Which sound event occurs second?,audios/71.wav,Chirping birds,"Door, wood creaks",Sea waves,car_horn,D,"['/home/data/ESC-50/ESC-50-master/audio/2-83667-A-34.wav', '/home/data/ESC-50/ESC-50-master/audio/3-243726-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/4-147657-A-46.wav', '/home/data/ESC-50/ESC-50-master/audio/1-43807-B-47.wav']","['can_opening', 'car_horn', 'church_bells', 'airplane']"
72,Which sound event occurs second?,audios/72.wav,Brushing teeth,glass_breaking,Fireworks,Pouring water,B,"['/home/data/ESC-50/ESC-50-master/audio/1-81883-A-21.wav', '/home/data/ESC-50/ESC-50-master/audio/3-203375-A-39.wav', '/home/data/ESC-50/ESC-50-master/audio/5-151085-A-20.wav', '/home/data/ESC-50/ESC-50-master/audio/3-51909-A-42.wav']","['sneezing', 'glass_breaking', 'crying_baby', 'siren']"
73,Which sound event occurs first?,audios/73.wav,Snoring,Pouring water,laughing,Crackling fire,C,"['/home/data/ESC-50/ESC-50-master/audio/3-118487-A-26.wav', '/home/data/ESC-50/ESC-50-master/audio/5-198411-C-20.wav', '/home/data/ESC-50/ESC-50-master/audio/2-209471-A-25.wav', '/home/data/ESC-50/ESC-50-master/audio/2-106487-A-44.wav']","['laughing', 'crying_baby', 'footsteps', 'engine']"
74,Which sound event occurs after coughing sound?,audios/74.wav,Crickets,Clapping,car_horn,Clock tick,C,"['/home/data/ESC-50/ESC-50-master/audio/2-70052-B-42.wav', '/home/data/ESC-50/ESC-50-master/audio/5-251489-A-24.wav', '/home/data/ESC-50/ESC-50-master/audio/5-179868-A-43.wav']","['siren', 'coughing', 'car_horn']"
75,Which sound event occurs second?,audios/75.wav,Coughing,Crickets,Glass breaking,washing_machine,D,"['/home/data/ESC-50/ESC-50-master/audio/3-103599-B-25.wav', '/home/data/ESC-50/ESC-50-master/audio/3-151273-A-35.wav', '/home/data/ESC-50/ESC-50-master/audio/2-118964-A-0.wav']","['footsteps', 'washing_machine', 'dog']"
76,Which sound event occurs first?,audios/76.wav,Water drops,clock_alarm,Hand saw,Sheep,B,"['/home/data/ESC-50/ESC-50-master/audio/3-131943-A-37.wav', '/home/data/ESC-50/ESC-50-master/audio/4-191327-A-38.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165823-A-41.wav']","['clock_alarm', 'clock_tick', 'chainsaw']"
78,Which sound event occurs after siren sound?,audios/78.wav,helicopter,Can opening,"Door, wood creaks",Fireworks,A,"['/home/data/ESC-50/ESC-50-master/audio/5-244178-A-32.wav', '/home/data/ESC-50/ESC-50-master/audio/3-58772-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/1-172649-F-40.wav']","['keyboard_typing', 'siren', 'helicopter']"
80,Which sound event occurs first?,audios/80.wav,Car horn,"Door, wood creaks",Crow,rooster,D,"['/home/data/ESC-50/ESC-50-master/audio/2-96460-A-1.wav', '/home/data/ESC-50/ESC-50-master/audio/4-250869-B-2.wav']","['rooster', 'pig']"
83,Which sound event occurs second?,audios/83.wav,Crying baby,"Door, wood creaks",Helicopter,engine,D,"['/home/data/ESC-50/ESC-50-master/audio/5-200461-B-11.wav', '/home/data/ESC-50/ESC-50-master/audio/4-186962-A-44.wav']","['sea_waves', 'engine']"
87,Which sound event occurs second?,audios/87.wav,Hen,Car horn,Crying baby,door_wood_knock,D,"['/home/data/ESC-50/ESC-50-master/audio/4-161105-A-47.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144510-A-30.wav']","['airplane', 'door_wood_knock']"
88,Which sound event occurs second?,audios/88.wav,pouring_water,Siren,Crying baby,Clock alarm,A,"['/home/data/ESC-50/ESC-50-master/audio/5-177957-B-40.wav', '/home/data/ESC-50/ESC-50-master/audio/4-187504-B-17.wav']","['helicopter', 'pouring_water']"
89,Which sound event occurs after snoring sound?,audios/89.wav,frog,Thunderstorm,Breathing,Siren,A,"['/home/data/ESC-50/ESC-50-master/audio/3-164592-A-15.wav', '/home/data/ESC-50/ESC-50-master/audio/2-126433-A-17.wav', '/home/data/ESC-50/ESC-50-master/audio/3-124795-A-28.wav', '/home/data/ESC-50/ESC-50-master/audio/3-71964-B-4.wav']","['water_drops', 'pouring_water', 'snoring', 'frog']"
90,Which sound event occurs third?,audios/90.wav,sheep,Siren,Door knock,Chainsaw,A,"['/home/data/ESC-50/ESC-50-master/audio/2-144031-A-34.wav', '/home/data/ESC-50/ESC-50-master/audio/2-83934-A-5.wav', '/home/data/ESC-50/ESC-50-master/audio/4-188703-A-8.wav']","['can_opening', 'cat', 'sheep']"
91,Which sound event occurs second?,audios/91.wav,Thunderstorm,Fireworks,train,Church bells,C,"['/home/data/ESC-50/ESC-50-master/audio/4-145081-A-9.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165791-B-45.wav', '/home/data/ESC-50/ESC-50-master/audio/3-162786-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/5-156026-C-4.wav']","['crow', 'train', 'crickets', 'frog']"
93,Which sound event occurs fourth?,audios/93.wav,coughing,Snoring,Church bells,Laughing,A,"['/home/data/ESC-50/ESC-50-master/audio/4-183487-A-1.wav', '/home/data/ESC-50/ESC-50-master/audio/1-115545-A-48.wav', '/home/data/ESC-50/ESC-50-master/audio/3-159347-B-36.wav', '/home/data/ESC-50/ESC-50-master/audio/3-145487-A-24.wav']","['rooster', 'fireworks', 'vacuum_cleaner', 'coughing']"
94,Which sound event occurs second?,audios/94.wav,Laughing,Crow,Rain,can_opening,D,"['/home/data/ESC-50/ESC-50-master/audio/5-242932-B-26.wav', '/home/data/ESC-50/ESC-50-master/audio/5-252248-A-34.wav', '/home/data/ESC-50/ESC-50-master/audio/2-96654-A-47.wav']","['laughing', 'can_opening', 'airplane']"
95,Which sound event occurs third?,audios/95.wav,Chainsaw,brushing_teeth,Thunderstorm,Insects (flying),B,"['/home/data/ESC-50/ESC-50-master/audio/4-223127-A-14.wav', '/home/data/ESC-50/ESC-50-master/audio/1-50625-A-17.wav', '/home/data/ESC-50/ESC-50-master/audio/4-144468-A-27.wav']","['chirping_birds', 'pouring_water', 'brushing_teeth']"
96,Which sound event occurs after car_horn sound?,audios/96.wav,Keyboard typing,Hand saw,footsteps,Rain,C,"['/home/data/ESC-50/ESC-50-master/audio/2-70052-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/4-176638-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/2-209471-A-25.wav']","['siren', 'car_horn', 'footsteps']"
99,Which sound event occurs third?,audios/99.wav,Mouse click,Hen,Airplane,drinking_sipping,D,"['/home/data/ESC-50/ESC-50-master/audio/3-152007-B-20.wav', '/home/data/ESC-50/ESC-50-master/audio/3-162786-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-188191-A-29.wav']","['crying_baby', 'crickets', 'drinking_sipping']"
100,Which sound event occurs second?,audios/100.wav,Fireworks,laughing,Vacuum cleaner,Clock tick,B,"['/home/data/ESC-50/ESC-50-master/audio/1-160563-B-48.wav', '/home/data/ESC-50/ESC-50-master/audio/4-167571-A-26.wav', '/home/data/ESC-50/ESC-50-master/audio/1-29532-A-16.wav']","['fireworks', 'laughing', 'wind']"
101,Which sound event occurs first?,audios/101.wav,Door knock,Wind,can_opening,"Door, wood creaks",C,"['/home/data/ESC-50/ESC-50-master/audio/1-60676-A-34.wav', '/home/data/ESC-50/ESC-50-master/audio/1-58277-A-3.wav', '/home/data/ESC-50/ESC-50-master/audio/1-104089-B-22.wav', '/home/data/ESC-50/ESC-50-master/audio/2-72547-D-14.wav']","['can_opening', 'cow', 'clapping', 'chirping_birds']"
102,Which sound event occurs second?,audios/102.wav,Sneezing,Siren,Wind,glass_breaking,D,"['/home/data/ESC-50/ESC-50-master/audio/2-65750-A-1.wav', '/home/data/ESC-50/ESC-50-master/audio/2-250710-A-39.wav']","['rooster', 'glass_breaking']"
103,Which sound event occurs second?,audios/103.wav,Washing machine,Dog,Vacuum cleaner,siren,D,"['/home/data/ESC-50/ESC-50-master/audio/1-82817-A-30.wav', '/home/data/ESC-50/ESC-50-master/audio/5-133989-B-42.wav']","['door_wood_knock', 'siren']"
104,Which sound event occurs after drinking_sipping sound?,audios/104.wav,engine,Crow,Sneezing,Airplane,A,"['/home/data/ESC-50/ESC-50-master/audio/3-133977-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/3-259622-A-44.wav']","['drinking_sipping', 'engine']"
105,Which sound event occurs second?,audios/105.wav,Rooster,Clapping,airplane,Water drops,C,"['/home/data/ESC-50/ESC-50-master/audio/1-62850-A-38.wav', '/home/data/ESC-50/ESC-50-master/audio/2-160888-A-47.wav']","['clock_tick', 'airplane']"
108,Which sound event occurs first?,audios/108.wav,Airplane,hand_saw,Frog,Mouse click,B,"['/home/data/ESC-50/ESC-50-master/audio/1-9887-B-49.wav', '/home/data/ESC-50/ESC-50-master/audio/5-156999-E-19.wav', '/home/data/ESC-50/ESC-50-master/audio/1-24074-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/3-171012-A-38.wav']","['hand_saw', 'thunderstorm', 'car_horn', 'clock_tick']"
109,Which sound event occurs fourth?,audios/109.wav,Siren,frog,Footsteps,Thunderstorm,B,"['/home/data/ESC-50/ESC-50-master/audio/5-147297-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/3-58772-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/1-18631-A-23.wav', '/home/data/ESC-50/ESC-50-master/audio/4-99193-A-4.wav']","['brushing_teeth', 'siren', 'breathing', 'frog']"
110,Which sound event occurs third?,audios/110.wav,breathing,Keyboard typing,Chainsaw,Thunderstorm,A,"['/home/data/ESC-50/ESC-50-master/audio/4-234879-A-6.wav', '/home/data/ESC-50/ESC-50-master/audio/2-82071-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-205526-A-23.wav']","['hen', 'brushing_teeth', 'breathing']"
111,Which sound event occurs first?,audios/111.wav,Thunderstorm,church_bells,Crying baby,Chirping birds,B,"['/home/data/ESC-50/ESC-50-master/audio/3-111102-B-46.wav', '/home/data/ESC-50/ESC-50-master/audio/5-191497-A-33.wav']","['church_bells', 'door_wood_creaks']"
112,Which sound event occurs third?,audios/112.wav,Wind,Coughing,Sheep,drinking_sipping,D,"['/home/data/ESC-50/ESC-50-master/audio/5-253101-A-49.wav', '/home/data/ESC-50/ESC-50-master/audio/3-151089-A-30.wav', '/home/data/ESC-50/ESC-50-master/audio/3-145387-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/2-96904-A-27.wav']","['hand_saw', 'door_wood_knock', 'drinking_sipping', 'brushing_teeth']"
113,Which sound event occurs second?,audios/113.wav,Thunderstorm,snoring,Crying baby,Clock alarm,B,"['/home/data/ESC-50/ESC-50-master/audio/2-126433-A-17.wav', '/home/data/ESC-50/ESC-50-master/audio/4-191297-A-28.wav']","['pouring_water', 'snoring']"
115,Which sound event occurs second?,audios/115.wav,Brushing teeth,clapping,Clock tick,Coughing,B,"['/home/data/ESC-50/ESC-50-master/audio/3-162786-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/3-138114-A-22.wav', '/home/data/ESC-50/ESC-50-master/audio/5-217186-B-16.wav']","['crickets', 'clapping', 'wind']"
116,Which sound event occurs third?,audios/116.wav,dog,Water drops,Rooster,Can opening,A,"['/home/data/ESC-50/ESC-50-master/audio/2-102414-E-17.wav', '/home/data/ESC-50/ESC-50-master/audio/1-32373-A-35.wav', '/home/data/ESC-50/ESC-50-master/audio/2-122104-B-0.wav', '/home/data/ESC-50/ESC-50-master/audio/4-107122-A-33.wav']","['pouring_water', 'washing_machine', 'dog', 'door_wood_creaks']"
117,Which sound event occurs second?,audios/117.wav,Sea waves,Breathing,Glass breaking,fireworks,D,"['/home/data/ESC-50/ESC-50-master/audio/4-218199-G-35.wav', '/home/data/ESC-50/ESC-50-master/audio/4-119648-D-48.wav', '/home/data/ESC-50/ESC-50-master/audio/4-197871-A-15.wav']","['washing_machine', 'fireworks', 'water_drops']"
119,Which sound event occurs third?,audios/119.wav,Snoring,siren,Cow,Train,B,"['/home/data/ESC-50/ESC-50-master/audio/3-166326-A-15.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165813-A-19.wav', '/home/data/ESC-50/ESC-50-master/audio/5-133989-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/5-211408-A-37.wav']","['water_drops', 'thunderstorm', 'siren', 'clock_alarm']"
120,Which sound event occurs after brushing_teeth sound?,audios/120.wav,airplane,Dog,Car horn,Frog,A,"['/home/data/ESC-50/ESC-50-master/audio/3-126391-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/3-143562-A-47.wav', '/home/data/ESC-50/ESC-50-master/audio/4-218199-F-35.wav']","['brushing_teeth', 'airplane', 'washing_machine']"
121,Which sound event occurs second?,audios/121.wav,wind,Crickets,Clock tick,Laughing,A,"['/home/data/ESC-50/ESC-50-master/audio/1-24524-C-19.wav', '/home/data/ESC-50/ESC-50-master/audio/2-109371-C-16.wav', '/home/data/ESC-50/ESC-50-master/audio/3-155584-A-14.wav']","['thunderstorm', 'wind', 'chirping_birds']"
122,Which sound event occurs after airplane sound?,audios/122.wav,Sea waves,can_opening,Fireworks,Sheep,B,"['/home/data/ESC-50/ESC-50-master/audio/2-74361-A-47.wav', '/home/data/ESC-50/ESC-50-master/audio/2-83667-A-34.wav']","['airplane', 'can_opening']"
123,Which sound event occurs second?,audios/123.wav,"Drinking, sipping",Can opening,Hand saw,door_wood_knock,D,"['/home/data/ESC-50/ESC-50-master/audio/3-115387-B-47.wav', '/home/data/ESC-50/ESC-50-master/audio/5-251426-A-30.wav']","['airplane', 'door_wood_knock']"
124,Which sound event occurs third?,audios/124.wav,Cow,hen,Vacuum cleaner,Sneezing,B,"['/home/data/ESC-50/ESC-50-master/audio/3-150363-A-38.wav', '/home/data/ESC-50/ESC-50-master/audio/2-84943-A-18.wav', '/home/data/ESC-50/ESC-50-master/audio/3-188390-A-6.wav', '/home/data/ESC-50/ESC-50-master/audio/2-28314-B-12.wav']","['clock_tick', 'toilet_flush', 'hen', 'crackling_fire']"
125,Which sound event occurs after train sound?,audios/125.wav,Footsteps,can_opening,Pig,Helicopter,B,"['/home/data/ESC-50/ESC-50-master/audio/2-114280-A-0.wav', '/home/data/ESC-50/ESC-50-master/audio/3-135650-B-45.wav', '/home/data/ESC-50/ESC-50-master/audio/1-43764-A-34.wav']","['dog', 'train', 'can_opening']"
126,Which sound event occurs second?,audios/126.wav,Coughing,Vacuum cleaner,Clapping,toilet_flush,D,"['/home/data/ESC-50/ESC-50-master/audio/2-102567-A-35.wav', '/home/data/ESC-50/ESC-50-master/audio/4-152958-A-18.wav']","['washing_machine', 'toilet_flush']"
127,Which sound event occurs second?,audios/127.wav,Siren,vacuum_cleaner,Washing machine,Breathing,B,"['/home/data/ESC-50/ESC-50-master/audio/3-155312-A-0.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181999-A-36.wav']","['dog', 'vacuum_cleaner']"
